_Customer_ID,_Purchase_Date,_Product_Category,_Product_Price,_Quantity,_Total_Purchase_Amount,_Payment_Method,_Customer_Age,_Returns,_Customer_Name,_Gender,_Churn
48283,19/6/2023,Books,290,1,3134,Credit Card,50,0,John Wilcox,Female,0
48283,9/9/2020,Electronics,278,3,3243,Cash,50,0,John Wilcox,Female,0
48283,29/5/2020,Books,187,3,2630,Credit Card,50,0,John Wilcox,Female,0
48283,14/5/2021,Home,132,4,2650,Cash,50,1,John Wilcox,Female,0
48313,10/5/2023,Electronics,348,5,5039,Cash,19,0,John Simpson,Female,1
48313,6/3/2020,Home,407,5,2898,PayPal,19,1,John Simpson,Female,1
48313,24/2/2022,Clothing,284,3,960,Cash,19,1,John Simpson,Female,1
45612,13/9/2023,Books,397,2,1855,PayPal,49,0,Brandon Lee,Male,0
45612,21/4/2023,Electronics,383,3,4670,Cash,49,1,Brandon Lee,Male,0
45612,14/8/2022,Books,291,1,3414,Cash,49,1,Brandon Lee,Male,0
45612,19/12/2020,Electronics,261,5,1109,Credit Card,49,1,Brandon Lee,Male,0
45612,18/3/2023,Clothing,369,1,3037,PayPal,49,1,Brandon Lee,Male,0
45612,10/8/2020,Home,316,4,1182,Credit Card,49,0,Brandon Lee,Male,0
45612,4/12/2020,Home,48,5,1533,Cash,49,0,Brandon Lee,Male,0
45363,23/11/2022,Clothing,423,3,2679,Cash,69,1,Debra Brown,Female,0
45363,13/6/2021,Books,84,1,1382,PayPal,69,0,Debra Brown,Female,0
45363,14/3/2020,Home,441,2,3740,Cash,69,1,Debra Brown,Female,0
45363,26/12/2021,Clothing,187,2,1531,PayPal,69,1,Debra Brown,Female,0
47129,14/3/2021,Electronics,240,3,3167,Cash,41,0,Erin Ewing,Male,0
47129,27/11/2020,Books,96,3,700,Credit Card,41,1,Erin Ewing,Male,0
47129,27/5/2022,Home,175,1,2087,Cash,41,0,Erin Ewing,Male,0
47129,27/7/2020,Electronics,371,4,3056,PayPal,41,0,Erin Ewing,Male,0
47129,29/5/2023,Electronics,402,2,3289,Cash,41,0,Erin Ewing,Male,0
47129,16/3/2023,Electronics,283,1,3521,Cash,41,0,Erin Ewing,Male,0
47129,13/5/2021,Clothing,355,5,3100,PayPal,41,1,Erin Ewing,Male,0
47129,3/8/2022,Clothing,152,5,2366,Credit Card,41,1,Erin Ewing,Male,0
47129,29/4/2020,Books,133,5,4226,Cash,41,1,Erin Ewing,Male,0
46971,27/11/2020,Clothing,425,2,3671,Cash,21,1,Laura Davis,Male,0
46971,21/3/2023,Home,243,3,1450,Cash,21,1,Laura Davis,Male,0
46971,8/11/2021,Books,476,1,1048,Cash,21,1,Laura Davis,Male,0
46971,4/9/2021,Electronics,407,4,2663,PayPal,21,0,Laura Davis,Male,0
46971,17/7/2021,Electronics,349,4,328,PayPal,21,1,Laura Davis,Male,0
46971,15/2/2023,Clothing,33,3,4807,Credit Card,21,1,Laura Davis,Male,0
46971,9/7/2020,Books,231,5,2101,Credit Card,21,1,Laura Davis,Male,0
46971,12/6/2023,Electronics,36,1,3273,Credit Card,21,1,Laura Davis,Male,0
46942,20/11/2022,Electronics,217,3,2197,Cash,62,1,Anna Martin,Female,0
46942,11/7/2023,Clothing,444,5,3765,Credit Card,62,1,Anna Martin,Female,0
46942,28/4/2023,Home,24,3,5126,Credit Card,62,0,Anna Martin,Female,0
46942,13/5/2020,Clothing,314,2,3448,PayPal,62,0,Anna Martin,Female,0
46942,6/8/2023,Books,430,3,3685,Credit Card,62,0,Anna Martin,Female,0
46942,23/4/2022,Books,491,3,2225,PayPal,62,0,Anna Martin,Female,0
46942,1/2/2020,Books,477,5,2635,Cash,62,1,Anna Martin,Female,0
48430,10/6/2020,Electronics,295,5,1333,PayPal,24,0,Christopher Duran,Male,0
48430,1/10/2020,Home,294,3,212,PayPal,24,1,Christopher Duran,Male,0
48430,14/6/2022,Books,80,5,3076,Cash,24,1,Christopher Duran,Male,0
48430,13/9/2023,Electronics,348,4,1239,Cash,24,1,Christopher Duran,Male,0
48430,1/10/2021,Clothing,465,1,1817,PayPal,24,1,Christopher Duran,Male,0
48430,18/11/2022,Books,40,4,536,Cash,24,1,Christopher Duran,Male,0
48651,14/5/2022,Electronics,28,4,4350,Credit Card,25,0,Kristina Reyes,Male,0
48651,26/5/2020,Home,277,5,4769,PayPal,25,0,Kristina Reyes,Male,0
48651,1/2/2023,Clothing,167,2,4676,Credit Card,25,0,Kristina Reyes,Male,0
48651,19/10/2020,Electronics,253,5,2874,Cash,25,1,Kristina Reyes,Male,0
48651,21/8/2022,Books,410,3,1481,PayPal,25,1,Kristina Reyes,Male,0
48651,2/10/2022,Electronics,196,2,815,Credit Card,25,1,Kristina Reyes,Male,0
48651,4/2/2022,Books,286,4,3610,PayPal,25,1,Kristina Reyes,Male,0
45961,14/12/2020,Books,465,5,961,Credit Card,68,0,Austin Torres,Female,0
45961,18/12/2021,Home,203,3,5286,PayPal,68,0,Austin Torres,Female,0
45961,12/7/2021,Home,482,4,4791,PayPal,68,0,Austin Torres,Female,0
45961,14/6/2022,Home,231,4,5321,PayPal,68,1,Austin Torres,Female,0
45961,1/3/2022,Clothing,343,4,820,Credit Card,68,1,Austin Torres,Female,0
45961,7/4/2023,Electronics,369,1,1231,PayPal,68,1,Austin Torres,Female,0
45961,28/10/2021,Clothing,246,1,2641,Cash,68,0,Austin Torres,Female,0
47531,13/7/2020,Books,493,5,3942,Cash,42,0,Steven Cochran,Female,0
47531,14/2/2020,Clothing,87,1,3763,PayPal,42,1,Steven Cochran,Female,0
47531,16/12/2020,Clothing,284,1,2818,Credit Card,42,0,Steven Cochran,Female,0
47531,6/8/2021,Books,73,1,348,Cash,42,1,Steven Cochran,Female,0
47531,7/2/2022,Electronics,145,4,3465,Credit Card,42,1,Steven Cochran,Female,0
47531,6/2/2023,Home,205,3,4757,Credit Card,42,0,Steven Cochran,Female,0
47531,4/3/2021,Home,431,5,4126,Credit Card,42,0,Steven Cochran,Female,0
47567,21/7/2020,Electronics,457,3,2824,Credit Card,54,0,Luis Rogers,Male,0
47567,26/11/2020,Electronics,63,1,2994,Credit Card,54,0,Luis Rogers,Male,0
47567,9/3/2020,Home,322,1,2088,Credit Card,54,0,Luis Rogers,Male,0
47567,22/1/2023,Home,294,3,4154,Credit Card,54,1,Luis Rogers,Male,0
47567,10/8/2021,Books,129,5,4700,Cash,54,1,Luis Rogers,Male,0
47567,20/8/2021,Books,169,1,3929,Credit Card,54,1,Luis Rogers,Male,0
47567,5/12/2022,Home,362,4,3906,Cash,54,0,Luis Rogers,Male,0
47567,7/2/2023,Home,327,5,561,Credit Card,54,1,Luis Rogers,Male,0
47567,17/12/2021,Books,124,5,3573,PayPal,54,1,Luis Rogers,Male,0
47171,18/2/2023,Books,44,1,3621,Credit Card,50,0,Brenda Goodman,Male,0
47171,6/6/2022,Books,84,3,3354,PayPal,50,1,Brenda Goodman,Male,0
47171,15/9/2020,Books,44,4,2993,Cash,50,1,Brenda Goodman,Male,0
47171,16/5/2021,Books,42,5,3152,PayPal,50,1,Brenda Goodman,Male,0
47171,31/3/2022,Electronics,481,3,5241,Cash,50,0,Brenda Goodman,Male,0
45089,13/5/2020,Electronics,294,5,4870,PayPal,25,1,Richard Rose,Male,0
45089,17/5/2023,Home,113,3,4044,Credit Card,25,1,Richard Rose,Male,0
45089,28/1/2023,Clothing,194,1,4845,Credit Card,25,0,Richard Rose,Male,0
45089,30/7/2021,Electronics,66,4,3049,PayPal,25,0,Richard Rose,Male,0
45089,30/10/2022,Clothing,303,2,2211,PayPal,25,0,Richard Rose,Male,0
45089,1/8/2021,Electronics,316,4,4126,Cash,25,0,Richard Rose,Male,0
45089,18/7/2020,Electronics,272,1,4487,PayPal,25,1,Richard Rose,Male,0
45089,10/7/2021,Electronics,183,2,3235,Credit Card,25,0,Richard Rose,Male,0
45089,20/1/2023,Electronics,228,1,3894,Cash,25,0,Richard Rose,Male,0
45089,15/11/2021,Clothing,367,4,4895,PayPal,25,1,Richard Rose,Male,0
45089,10/2/2023,Books,175,4,3045,Credit Card,25,1,Richard Rose,Male,0
49611,17/8/2023,Home,397,1,1487,PayPal,63,1,Donald Young,Male,1
49611,7/8/2022,Books,57,2,2393,Credit Card,63,1,Donald Young,Male,1
49611,17/11/2021,Electronics,211,1,2113,PayPal,63,1,Donald Young,Male,1
49611,17/2/2023,Electronics,106,5,4684,Credit Card,63,1,Donald Young,Male,1
49611,16/2/2020,Electronics,259,1,4570,PayPal,63,0,Donald Young,Male,1
49611,23/12/2022,Clothing,11,4,4228,PayPal,63,1,Donald Young,Male,1
49611,5/5/2021,Books,434,2,612,PayPal,63,1,Donald Young,Male,1
49611,3/7/2023,Electronics,316,5,729,Credit Card,63,1,Donald Young,Male,1
48573,21/2/2023,Home,48,2,4025,Credit Card,27,0,Paul Campbell,Female,0
48573,5/2/2021,Electronics,200,4,3157,PayPal,27,0,Paul Campbell,Female,0
48573,12/3/2020,Books,269,5,1705,PayPal,27,0,Paul Campbell,Female,0
48573,9/1/2020,Books,408,1,3765,Credit Card,27,1,Paul Campbell,Female,0
48573,25/3/2021,Home,216,2,1632,PayPal,27,1,Paul Campbell,Female,0
48573,15/5/2020,Home,208,4,4177,Cash,27,0,Paul Campbell,Female,0
48573,24/10/2020,Home,15,1,3613,Credit Card,27,1,Paul Campbell,Female,0
48573,13/1/2022,Books,175,4,5106,PayPal,27,1,Paul Campbell,Female,0
48573,8/4/2022,Clothing,267,2,2718,Credit Card,27,1,Paul Campbell,Female,0
48906,26/11/2020,Electronics,132,4,1886,Credit Card,37,1,Michael Ferguson,Female,1
48906,4/4/2022,Clothing,201,4,2799,PayPal,37,0,Michael Ferguson,Female,1
48906,22/9/2021,Electronics,151,5,1263,PayPal,37,1,Michael Ferguson,Female,1
48906,12/2/2020,Home,88,4,3317,Credit Card,37,1,Michael Ferguson,Female,1
48906,4/6/2021,Clothing,72,1,4181,Credit Card,37,1,Michael Ferguson,Female,1
48906,20/3/2023,Electronics,306,3,4291,Credit Card,37,0,Michael Ferguson,Female,1
48906,24/3/2020,Electronics,435,2,2976,PayPal,37,1,Michael Ferguson,Female,1
48906,13/1/2023,Electronics,401,1,4961,Credit Card,37,1,Michael Ferguson,Female,1
49689,5/6/2020,Clothing,226,4,223,Cash,28,1,Jasmine Garcia,Male,0
49689,25/3/2020,Electronics,392,1,4643,Credit Card,28,1,Jasmine Garcia,Male,0
49689,14/7/2020,Books,187,1,3749,Cash,28,1,Jasmine Garcia,Male,0
49689,3/12/2022,Electronics,77,4,2177,PayPal,28,1,Jasmine Garcia,Male,0
49689,21/12/2020,Books,69,3,4573,Credit Card,28,0,Jasmine Garcia,Male,0
46213,1/5/2022,Electronics,497,4,3084,Credit Card,24,0,Taylor Stone,Male,0
46213,6/1/2021,Electronics,429,4,3903,PayPal,24,1,Taylor Stone,Male,0
46213,6/9/2021,Clothing,143,4,4121,PayPal,24,1,Taylor Stone,Male,0
46213,15/9/2021,Home,43,1,1812,Credit Card,24,1,Taylor Stone,Male,0
49546,27/3/2022,Electronics,488,4,1541,Cash,35,1,Amber Green,Female,0
49546,27/2/2023,Books,294,2,2700,PayPal,35,0,Amber Green,Female,0
45532,15/1/2021,Books,221,2,2190,PayPal,30,1,April Riggs,Male,0
45532,31/7/2023,Clothing,104,3,850,Cash,30,1,April Riggs,Male,0
45479,3/4/2021,Books,467,5,3461,PayPal,27,1,Thomas Waller,Male,0
45479,25/9/2021,Clothing,408,2,4824,PayPal,27,1,Thomas Waller,Male,0
45479,20/11/2022,Clothing,173,2,207,Credit Card,27,1,Thomas Waller,Male,0
45479,5/4/2022,Books,190,3,1196,PayPal,27,1,Thomas Waller,Male,0
45479,25/1/2020,Clothing,129,1,2185,Cash,27,1,Thomas Waller,Male,0
45479,7/9/2020,Clothing,182,3,1437,PayPal,27,0,Thomas Waller,Male,0
48678,23/8/2023,Clothing,153,1,4561,Credit Card,70,1,Jose Roman,Male,1
48678,12/10/2022,Clothing,427,5,1572,Credit Card,70,1,Jose Roman,Male,1
48678,28/6/2022,Electronics,24,2,2888,Cash,70,0,Jose Roman,Male,1
48678,28/10/2020,Home,209,2,3404,Cash,70,1,Jose Roman,Male,1
48678,11/8/2020,Electronics,47,5,3325,Cash,70,0,Jose Roman,Male,1
48678,29/7/2021,Electronics,157,3,2416,PayPal,70,1,Jose Roman,Male,1
47055,17/9/2020,Clothing,421,5,2399,PayPal,28,0,Daniel Lyons,Female,0
47055,9/6/2021,Books,97,5,4347,PayPal,28,1,Daniel Lyons,Female,0
47055,7/6/2021,Electronics,388,3,3892,Credit Card,28,1,Daniel Lyons,Female,0
47055,15/5/2023,Books,14,1,1716,Credit Card,28,0,Daniel Lyons,Female,0
47055,21/1/2020,Home,193,1,1237,PayPal,28,1,Daniel Lyons,Female,0
47055,4/5/2022,Electronics,289,5,4094,Cash,28,1,Daniel Lyons,Female,0
45280,28/7/2023,Clothing,441,3,2354,Cash,37,0,Christine Henry,Female,0
45280,30/4/2021,Clothing,121,2,3629,PayPal,37,0,Christine Henry,Female,0
45280,16/7/2023,Clothing,127,1,772,Cash,37,1,Christine Henry,Female,0
45280,1/7/2022,Clothing,243,1,3394,Credit Card,37,1,Christine Henry,Female,0
45280,8/9/2023,Electronics,232,3,3573,Cash,37,0,Christine Henry,Female,0
45280,14/4/2023,Clothing,60,3,3374,Credit Card,37,0,Christine Henry,Female,0
45280,26/5/2023,Clothing,301,3,206,Credit Card,37,1,Christine Henry,Female,0
45459,22/4/2020,Books,211,2,2376,Credit Card,27,1,David Conner,Male,0
45459,13/4/2021,Electronics,220,2,415,PayPal,27,1,David Conner,Male,0
45459,19/11/2020,Books,14,2,2197,PayPal,27,1,David Conner,Male,0
45459,14/3/2021,Clothing,53,1,4645,Credit Card,27,0,David Conner,Male,0
45459,27/1/2020,Electronics,357,2,4190,Cash,27,0,David Conner,Male,0
49752,22/8/2020,Books,409,1,4855,PayPal,23,1,Nancy Mclaughlin,Male,0
49752,21/8/2022,Home,439,3,2549,PayPal,23,1,Nancy Mclaughlin,Male,0
49752,5/5/2022,Clothing,477,5,4258,Cash,23,1,Nancy Mclaughlin,Male,0
49752,2/5/2023,Clothing,18,1,2854,Cash,23,1,Nancy Mclaughlin,Male,0
49752,16/4/2022,Clothing,282,5,2187,PayPal,23,1,Nancy Mclaughlin,Male,0
49752,23/2/2023,Electronics,60,4,2279,PayPal,23,0,Nancy Mclaughlin,Male,0
49752,29/1/2022,Home,58,3,1339,PayPal,23,0,Nancy Mclaughlin,Male,0
49752,17/5/2021,Home,416,2,4685,Cash,23,1,Nancy Mclaughlin,Male,0
49752,12/1/2023,Home,453,1,4699,Credit Card,23,0,Nancy Mclaughlin,Male,0
49978,20/7/2023,Clothing,118,1,4137,Cash,52,0,Joe Deleon,Female,0
49978,9/6/2020,Books,230,4,3146,Credit Card,52,0,Joe Deleon,Female,0
49978,17/10/2022,Books,367,4,1893,Credit Card,52,1,Joe Deleon,Female,0
49978,15/6/2023,Clothing,248,2,1105,Cash,52,1,Joe Deleon,Female,0
49978,7/6/2020,Home,337,3,4030,PayPal,52,1,Joe Deleon,Female,0
46156,17/10/2020,Electronics,108,5,3347,Credit Card,55,1,Patrick Sanchez,Male,0
46156,3/2/2023,Books,437,3,1409,PayPal,55,1,Patrick Sanchez,Male,0
46156,1/12/2020,Electronics,380,1,658,Credit Card,55,1,Patrick Sanchez,Male,0
45844,17/10/2021,Home,467,3,4023,Cash,64,0,Lisa Poole,Female,1
45844,11/1/2020,Clothing,81,4,725,Cash,64,1,Lisa Poole,Female,1
45844,12/11/2020,Home,334,2,4379,PayPal,64,1,Lisa Poole,Female,1
45844,26/1/2022,Clothing,162,3,4646,PayPal,64,0,Lisa Poole,Female,1
45844,29/12/2020,Electronics,328,4,3050,Cash,64,1,Lisa Poole,Female,1
45844,26/10/2021,Home,494,1,4477,Credit Card,64,1,Lisa Poole,Female,1
47159,8/10/2020,Home,129,3,5183,Cash,49,0,Ms. Latoya Smith,Male,0
47159,18/8/2023,Clothing,167,1,3137,PayPal,49,1,Ms. Latoya Smith,Male,0
47159,15/2/2022,Books,370,3,3793,PayPal,49,1,Ms. Latoya Smith,Male,0
47159,30/1/2023,Books,108,1,1820,PayPal,49,1,Ms. Latoya Smith,Male,0
47159,9/9/2021,Clothing,443,2,1986,PayPal,49,1,Ms. Latoya Smith,Male,0
46104,22/1/2023,Home,183,5,1308,Cash,41,1,Morgan King,Female,1
46104,15/7/2023,Clothing,401,2,545,Cash,41,1,Morgan King,Female,1
46104,9/10/2020,Books,30,3,1797,Credit Card,41,1,Morgan King,Female,1
46104,9/5/2021,Clothing,257,2,4113,PayPal,41,1,Morgan King,Female,1
46104,30/12/2022,Home,470,3,4678,Cash,41,0,Morgan King,Female,1
47286,2/6/2020,Books,36,2,262,PayPal,39,1,Katherine Fitzpatrick,Female,1
47286,20/3/2022,Electronics,272,3,594,PayPal,39,0,Katherine Fitzpatrick,Female,1
47286,2/7/2020,Home,300,5,2664,Credit Card,39,0,Katherine Fitzpatrick,Female,1
47286,23/5/2021,Electronics,344,2,3241,PayPal,39,0,Katherine Fitzpatrick,Female,1
47286,26/10/2021,Electronics,340,2,3323,Credit Card,39,1,Katherine Fitzpatrick,Female,1
47286,20/1/2020,Books,491,5,3076,Credit Card,39,1,Katherine Fitzpatrick,Female,1
48178,13/2/2020,Clothing,469,5,918,Cash,58,1,Christine Bailey,Male,0
48178,26/2/2023,Home,407,4,1954,PayPal,58,0,Christine Bailey,Male,0
48178,3/8/2023,Electronics,350,3,2049,Cash,58,1,Christine Bailey,Male,0
48178,22/8/2023,Home,113,4,1108,PayPal,58,1,Christine Bailey,Male,0
45932,23/8/2021,Electronics,360,5,936,Credit Card,29,1,Brian Erickson,Male,0
45932,14/6/2023,Home,139,5,651,PayPal,29,1,Brian Erickson,Male,0
45932,21/6/2023,Books,268,5,996,Credit Card,29,0,Brian Erickson,Male,0
45932,16/5/2021,Home,473,4,4271,Credit Card,29,1,Brian Erickson,Male,0
45932,19/3/2022,Clothing,46,3,1441,Cash,29,1,Brian Erickson,Male,0
45932,16/8/2023,Books,212,3,787,Credit Card,29,0,Brian Erickson,Male,0
45932,22/9/2022,Home,304,5,4901,PayPal,29,1,Brian Erickson,Male,0
45932,2/4/2023,Clothing,173,3,2297,Cash,29,1,Brian Erickson,Male,0
45932,24/10/2020,Clothing,358,1,554,Cash,29,1,Brian Erickson,Male,0
45932,7/12/2022,Books,132,1,856,PayPal,29,0,Brian Erickson,Male,0
48257,22/6/2022,Home,226,2,3355,PayPal,45,0,William Clark,Male,0
48257,1/5/2023,Home,145,3,2537,Credit Card,45,1,William Clark,Male,0
48257,7/2/2020,Clothing,209,3,2362,Cash,45,0,William Clark,Male,0
48257,23/11/2022,Home,149,2,3073,PayPal,45,0,William Clark,Male,0
48257,5/1/2023,Electronics,404,1,4667,Credit Card,45,0,William Clark,Male,0
48257,10/2/2022,Clothing,225,4,3939,Credit Card,45,1,William Clark,Male,0
48257,13/7/2021,Home,326,5,4549,Cash,45,1,William Clark,Male,0
48257,26/8/2020,Clothing,119,4,4906,Cash,45,1,William Clark,Male,0
48257,25/7/2021,Clothing,361,2,2952,Cash,45,0,William Clark,Male,0
48706,28/1/2022,Home,38,1,2642,Cash,37,1,Roberto Copeland,Female,1
48706,2/2/2022,Books,402,4,829,PayPal,37,0,Roberto Copeland,Female,1
48706,14/11/2022,Home,225,2,1427,Credit Card,37,1,Roberto Copeland,Female,1
48706,19/3/2021,Home,429,2,2430,Cash,37,1,Roberto Copeland,Female,1
48706,10/10/2020,Home,407,5,1911,Cash,37,0,Roberto Copeland,Female,1
48706,13/4/2023,Electronics,189,5,2673,Cash,37,0,Roberto Copeland,Female,1
48706,4/7/2020,Electronics,460,1,1368,Cash,37,1,Roberto Copeland,Female,1
46939,2/1/2023,Clothing,418,1,4760,Cash,40,1,Peter Andrews,Female,0
46939,24/4/2022,Electronics,353,5,212,PayPal,40,0,Peter Andrews,Female,0
46939,30/8/2022,Electronics,145,3,4422,Credit Card,40,0,Peter Andrews,Female,0
46939,19/3/2022,Clothing,173,2,3996,Credit Card,40,0,Peter Andrews,Female,0
46939,12/3/2023,Clothing,338,5,3377,PayPal,40,1,Peter Andrews,Female,0
46939,20/7/2020,Books,273,5,339,Cash,40,0,Peter Andrews,Female,0
49559,14/12/2020,Home,266,4,572,PayPal,29,1,Jon Brown,Male,0
49559,1/12/2022,Books,332,5,2063,Credit Card,29,1,Jon Brown,Male,0
49559,4/5/2020,Clothing,230,3,4861,PayPal,29,1,Jon Brown,Male,0
49559,26/5/2022,Electronics,11,3,3674,PayPal,29,1,Jon Brown,Male,0
49559,21/3/2023,Clothing,227,3,1757,Cash,29,0,Jon Brown,Male,0
49559,3/9/2020,Electronics,127,4,4714,PayPal,29,0,Jon Brown,Male,0
49559,7/12/2021,Home,86,4,1543,Cash,29,0,Jon Brown,Male,0
45458,21/5/2022,Books,305,2,1250,Credit Card,58,1,Cynthia Obrien,Male,1
45458,17/11/2021,Clothing,140,3,1915,Credit Card,58,1,Cynthia Obrien,Male,1
45458,9/10/2021,Home,301,4,2909,Cash,58,1,Cynthia Obrien,Male,1
45458,9/3/2023,Electronics,76,4,901,PayPal,58,0,Cynthia Obrien,Male,1
46398,9/10/2020,Electronics,190,4,2900,Cash,32,0,Ryan Jones,Male,0
46398,18/6/2023,Electronics,22,1,3824,Credit Card,32,1,Ryan Jones,Male,0
46398,22/8/2023,Home,493,3,1469,Cash,32,1,Ryan Jones,Male,0
46398,20/3/2022,Electronics,92,3,710,Credit Card,32,1,Ryan Jones,Male,0
46398,11/1/2023,Home,420,5,2801,Credit Card,32,1,Ryan Jones,Male,0
48378,5/2/2022,Home,436,4,5106,Credit Card,28,1,Jennifer Schroeder,Male,0
48378,29/12/2020,Books,35,1,2846,Cash,28,1,Jennifer Schroeder,Male,0
48378,26/1/2020,Clothing,87,5,4555,Cash,28,1,Jennifer Schroeder,Male,0
48378,2/11/2020,Electronics,93,1,5089,Credit Card,28,0,Jennifer Schroeder,Male,0
48378,29/1/2022,Clothing,410,2,4048,Credit Card,28,1,Jennifer Schroeder,Male,0
48378,12/6/2020,Books,43,5,2901,Credit Card,28,0,Jennifer Schroeder,Male,0
48378,1/12/2020,Electronics,26,4,2533,PayPal,28,1,Jennifer Schroeder,Male,0
